B3-26,B,B3,test-reviewer,Duplicate registration race condition causes 500,correctness,medium,src/app/api/auth/register/route.ts,19,Find-then-create registration logic is racy: two concurrent registrations for the same email make user.create throw on the unique constraint and return a 500 instead of a 409.,Two near-simultaneous signups with the same email produce an unhandled 500 instead of the intended 409.,Handle the unique-constraint error and test it.,register-race-condition-500
B3-27,B,B3,test-reviewer,DB CHECK constraints untested,tests,medium,prisma/migrations/20260917213700_score_checks/migration.sql,2,Nothing shows the eight CHECK constraints reject out-of-range values.,,Add a DB-level test inserting differentiation = 6 and hCost = 0.,no-tests-db-constraints
B3-28,B,B3,docs-reviewer,"Score CHECK constraints only live in migration, not schema",infra,medium,prisma/schema.prisma,33,The 1-5 CHECK constraints appear only in the hand-written migration; nobody editing the schema would see them.,,Comment the score fields so they aren't edited without a matching migration.,db-schema-drift-missing-checks-redundant-index
B3-29,B,B3,test-reviewer,"Share page duplicates delta logic, untested",correctness,medium,src/app/s/[token]/page.tsx,35,"The page recomputes the delta inline instead of calling scoreDelta, and renders hindsight when outcome is set even if the h* scores are null; neither case is tested.",,Reuse scoreDelta and guard hindsight rendering on the scores being present; add tests including notFound() for a bad token.,share-page-inline-delta-duplicated-logic
B3-30,B,B3,test-reviewer,Status can reach DONE without outcome,correctness,low,src/app/api/ideas/[id]/route.ts,37,"PATCH accepts status: DONE or ABANDONED through ideaUpdateSchema with no outcome or hindsight scores, bypassing the outcome flow.",,Decide and enforce the intended status/outcome transition rules.,status-outcome-inconsistency-db
B3-31,B,B3,orchestrator,Other handoffs were owned and dropped,meta,low,,,"All other handoffs (missing tests, JWT secret/rate limiting, README typo, restart policy, missing engagement/decisions folders) were reported by their owning agent and dropped from the handoffs list.",,,meta-handoffs-dropped-owned
B3-32,B,B3,orchestrator,"No linter, scanner or test runner ran",meta,informational,,,"No linter, security scanner, test runner or coverage tool ran during this review.",,,meta-tools-not-run
B3-33,B,B3,security-reviewer,Security scanners did not run,meta,informational,,,"gitleaks, semgrep and pnpm audit did not run, so the WARN verdict rests on a manual read only, and next 16.3.5, jose 6.x, nanoid 6 and zod 4 could not be judged.",,,meta-security-tools-not-run
B3-34,B,B3,infra-reviewer,Infra scanners not available or denied,meta,informational,,,"Bash was denied so checkov did not run, and actionlint, tflint and hadolint are not installed and had nothing to check anyway.",,,meta-infra-tools-not-run
B3-35,B,B3,test-reviewer,No test runner exists,meta,informational,,,No runner or scripts/check.sh exists; a git ls-files check found no test files.,,,meta-test-tools-not-run
B3-36,B,B3,security-reviewer,"Git access denied, reviewed working tree not diff",meta,informational,,,"Bash was denied at some point for security-reviewer, infra-reviewer, test-reviewer and scope-reviewer; scope-reviewer ran only a --stat and not the full diff, so these are reviews of the working tree, not the diff.",,,meta-git-access-denied
B3-37,B,B3,scope-reviewer,Scope PASS means no scope to check,meta,informational,,,"scope-reviewer's PASS means there was no scope document to check against, not that the change was checked and found in scope; it did not read every changed file.",,,meta-scope-not-checked
B3-38,B,B3,orchestrator,Dependency choices undocumented,dependencies,informational,,,"The dependencies (prisma client, bcryptjs, jose, nanoid, next, prisma, react, react-dom, zod) have no justification recorded anywhere except the Prisma 6.x pin note in the README.",,,dependencies-choice-undocumented
B3-39,B,B3,docs-reviewer,Could not verify Next middleware claim,meta,informational,,,docs-reviewer could not verify the src/proxy.ts 'Next middleware convention' claim against bundled Next docs because node_modules isn't installed; AGENTS.md says this Next version has breaking changes.,,,meta-node-modules-absent
B3-40,B,B3,security-reviewer,JWT verification not pinned to an algorithm,security,informational,src/lib/auth.ts,44,"jwtVerify has no algorithms: [""HS256""] restriction; jose restricts by key type so this isn't exploitable today, but pinning is cheap.",,"Add algorithms: [""HS256""] to jwtVerify.",jwt-verification-not-pinned
B3-41,B,B3,orchestrator,Session model looks adequate,security,informational,,,"Sessions are stateless and last 30 days, getCurrentUser re-checks the user still exists, and the cookie is httpOnly, sameSite lax and secure in production, which is adequate CSRF protection for the JSON routes.",,,security-checks-sound-positive
B3-42,B,B3,orchestrator,Share tokens and public route look sound,security,informational,,,"Share tokens are nanoid(24), and the public route and /s/[token] page return only owner-written fields.",,,share-links-payload-sound-positive
B3-43,B,B3,orchestrator,Docker restart policy and image tag noted,infra,informational,docker-compose.yml,4,"restart: unless-stopped brings the dev database back after every reboot, and the floating postgres:16-alpine tag is fine for dev.",,,docker-restart-policy-and-tag-notes
B3-44,B,B3,orchestrator,README Node version claim has no engines field,docs,informational,README.md,,"The README says Node 20+, but there is no .nvmrc or engines field.",,Add an engines field.,readme-engines-field-missing
B3-45,B,B3,orchestrator,Build-script approval configured in two places,infra,informational,pnpm-workspace.yaml,1-3,"Build-script approval is configured in both pnpm-workspace.yaml and package.json, and the two can drift.",,Keep build-script approval in a single place.,build-script-approval-config-drift
B3-46,B,B3,orchestrator,Pure functions are the cheapest first tests,meta,informational,,,"The pure functions in scoring.ts, calibration.ts and validation.ts need no database and are the cheapest tests to add first.",,,meta-testing-recommendation
B3-47,B,B3,test-reviewer,Components directory not read,meta,informational,src/components/,,test-reviewer did not read src/components/.,,,meta-files-not-read
B3-48,B,B3,orchestrator,Reviewers disagree on placeholder secret length,meta,informational,.env.example,2,"Reviewers disagree on the placeholder secret length, 33 vs 34 characters; either way it exceeds the 16-character minimum.",,,meta-secret-placeholder-length-discrepancy
