B3.2-11,B2c,B3.2,test-reviewer,Session token handling untested,tests,high,src/lib/auth.ts,14-54,getSecretKey's throw on a missing/short secret and verifySessionToken's null returns are untested.,,"Cover tampered, expired, non-string-sub tokens, and a round trip.",no-tests-session-verification,none
B3.2-12,B2c,B3.2,test-reviewer,Auth endpoints untested,tests,high,src/app/api/auth/register/route.ts / login/route.ts,19-25 / 19-27,"Duplicate email, wrong password, unknown email, invalid input, success cookie, and stored-hash-not-plaintext are untested.",,Cover each branch.,no-tests-auth-routes,none
B3.2-13,B2c,B3.2,test-reviewer,Route-protection gate untested,tests,high,src/proxy.ts,6-22,"Redirect-to-login on missing/garbage cookie, valid-cookie pass, and non-protected paths passing are untested.",,Cover each case.,no-tests-proxy-redirect,none
B3.2-14,B2c,B3.2,test-reviewer,Ranking and filtering untested,correctness,high,src/app/api/ideas/route.ts,13-25,"Ranking by total score, the README's central feature, and the invalid ?status= silently-ignored behavior are untested.",,"Cover descending order, status filtering, invalid status ignored.",invalid-status-filter-ignored,none
B3.2-15,B2c,B3.2,test-reviewer,DB CHECK constraints untested,tests,high,prisma/migrations/20260917213700_score_checks/migration.sql,2-10,README claims the CHECK constraints are enforced in the database but nothing exercises them.,,Insert a score of 0 and of 6 directly through Prisma and assert rejection.,no-tests-db-constraints,none
B3.2-16,B2c,B3.2,security-reviewer,JWT_SECRET placeholder passes length guard,security,medium,src/lib/auth.ts,10,"JWT_SECRET only needs 16 characters, so the 33-character placeholder passes; a deployment copying the example signs with a public key.",,Reject the known placeholder or fail in production unless the value is random.,jwt-secret-placeholder-accepted,none
B3.2-17,B2c,B3.2,security-reviewer,"No session revocation, stateless 30-day JWT",security,medium,src/lib/auth.ts / src/lib/session.ts,8 / 15,"Sessions are stateless 30-day JWTs; logout only deletes the cookie, so a stolen token stays valid until it expires.",,Shorten TTL or add a server-side session/version check.,no-session-revocation-account-lifecycle,none
B3.2-18,B2c,B3.2,security-reviewer,"No rate limiting, bcrypt CPU-exhaustion target",security,medium,src/app/api/auth/login/route.ts / register/route.ts,7 / 7,"No rate limiting or lockout, and each request runs a bcrypt cost-12 hash.",Credential stuffing and CPU exhaustion are both open.,Add per-IP and per-account throttling.,no-rate-limiting-bcrypt-cpu-cost,none
B3.2-19,B2c,B3.2,security-reviewer,Login timing reveals registered emails,security,medium,src/app/api/auth/login/route.ts,20,"Unknown emails return 401 without running bcrypt, so response timing reveals which emails are registered.",,Run verifyPassword against a dummy hash when the user is not found.,account-enumeration,none
B3.2-20,B2c,B3.2,security-reviewer,Registration 409 enumerates accounts,security,medium,src/app/api/auth/register/route.ts,21,The distinct 409 on duplicate email lets anyone enumerate registered accounts; cheap to script without rate limiting.,,"Throttle it, or use a flow that doesn't disclose existence.",account-enumeration,none
B3.2-21,B2c,B3.2,security-reviewer,pnpm audit: deepmerge-ts high-severity advisory,dependencies,medium,pnpm-lock.yaml,1028,"deepmerge-ts@7.1.5 (via prisma > @prisma/config) has a high-severity advisory, GHSA-ggr8-5vv4-36mx; not fully confirmed unreachable in production; prisma listed under dependencies not devDependencies.",,Bump prisma/@prisma/client or add a pnpm.overrides entry.,pnpm-audit-deepmerge-ts-high,"pnpm audit: ""deepmerge-ts@7.1.5 (via prisma > @prisma/config) has a high-severity advisory, GHSA-ggr8-5vv4-36mx"""
B3.2-22,B2c,B3.2,security-reviewer,Share token in URL leaks via Referrer header,security,medium,src/app/s/[token]/page.tsx,1,"The share token is in the URL path and the page sets no Referrer-Policy, so links clicked from a shared idea's description could leak it.",,Send Referrer-Policy: no-referrer for /s/* in next.config.ts.,share-token-referrer-policy-missing,none
B3.2-23,B2c,B3.2,docs-reviewer,README wording contradicts sharing feature,docs,medium,README.md,10,'unshareable/unguessable link' contradicts the feature.,,"Reword to describe a secret, unguessable, revocable link.",readme-typo-unshareable-unguessable,none
B3.2-24,B2c,B3.2,docs-reviewer,Score dimension direction unclear in README,docs,medium,README.md,5,The 1-5 meaning of cost and reversibility appears only in form hint text; a reader could misread the ranking.,,State each dimension's direction in the README.,readme-score-dimension-direction-unclear,none
B3.2-25,B2c,B3.2,docs-reviewer,"CHECK constraints only in migration, not schema",infra,medium,prisma/schema.prisma,11,The CHECK constraints live only in the hand-written migration; the README doesn't say where.,,Say where they live.,db-schema-drift-missing-checks-redundant-index,none
B3.2-26,B2c,B3.2,docs-reviewer,No production deploy path,docs,medium,README.md,"22-30, 63-65",No production deploy path; db:migrate is prisma migrate dev; missing deploy step and env vars.,,Add the prisma migrate deploy step and required env vars.,no-deployment-pipeline,none
B3.2-27,B2c,B3.2,docs-reviewer,API routes undocumented,docs,medium,README.md,46-57,"Route table lists only pages; the whole JSON API is undocumented, including the regenerate option and public /api/share/[token].",,Add a method/auth/purpose table.,readme-api-undocumented,none
B3.2-28,B2c,B3.2,docs-reviewer,No limitations section in README,docs,medium,README.md,,"No limitations section: no password reset, email verification, rate limiting, session revocation; compose credentials dev-only.",,Name the gaps and what each would take.,readme-no-limitations-section,none
B3.2-29,B2c,B3.2,docs-reviewer,No ADR for JWT-cookie auth choice,docs,medium,README.md,15,The JWT-cookie auth choice has no ADR; no docs/decisions/ exists.,,Record the JWT vs server-session trade-off including the 30-day non-revocable token.,no-adr-for-key-decisions,none
B3.2-30,B2c,B3.2,docs-reviewer,No teardown for Postgres volume,infra,medium,docker-compose.yml / README.md,14 / 22-30,idealog_pgdata volume persists; nothing documents stopping or removing the database.,,Document docker compose down -v.,docker-volume-no-teardown,none
B3.2-31,B2c,B3.2,test-reviewer,PATCH passthrough untested for status/outcome cases,tests,medium,src/app/api/ideas/[id]/route.ts,37-40,"Untested cases: {}, status: DONE with no outcome, and editing predictions after hindsight is recorded.",,Write tests that pin down the intended behavior.,status-outcome-inconsistency-db,none
B3.2-32,B2c,B3.2,test-reviewer,outcomeRecordedAt overwrite behavior untested,tests,medium,src/app/api/ideas/[id]/outcome/route.ts,26-37,outcomeRecordedAt is overwritten on every call; nothing tests whether that is intended.,,,no-tests-outcome-recording,none
B3.2-33,B2c,B3.2,test-reviewer,DB-level tests need a deterministic Postgres,tests,medium,docker-compose.yml,1-15,"Database-level tests need a deterministic Postgres (a separate idealog_test DB or per-test reset), not developer data.",,,test-db-strategy-choice-open,none
B3.2-34,B2c,B3.2,test-reviewer,Client components untested,tests,medium,src/components/*.tsx,,The client components are untested; score-picker and the form submit/error paths carry logic.,,,no-tests-client-components,none
B3.2-35,B2c,B3.2,test-reviewer,No instructions for running tests,docs,low,README.md,,Getting Started says nothing about running tests; conditional on a test script existing.,,,readme-missing-test-run-instructions,none
B3.2-36,B2c,B3.2,test-reviewer,Calibration fallback expressions are inconsistent,correctness,low,src/lib/calibration.ts,14-31,"avgTotalDelta uses delta??0 while perDimension uses a different fallback; ambiguous, worth a human look.",,,calibration-fallback-inconsistency,none
B3.2-37,B2c,B3.2,test-reviewer,"PATCH allows status DONE without outcome, no owner",correctness,low,src/app/api/ideas/[id]/route.ts,37-40,PATCH allows status: DONE with no outcome recorded through ideaUpdateSchema; a correctness question with no owning reviewer.,,,status-outcome-inconsistency-db,none
B3.2-38,B2c,B3.2,security-reviewer,"Security scanners ran, one advisory surfaced",meta,informational,,,"gitleaks (history and tree, no findings), semgrep p/security-audit+p/secrets on src/prisma (0 results), pnpm audit (1 high, 0 critical, 0 moderate) ran.",,,security-tools-ran-clean,"gitleaks/semgrep/pnpm audit: ""gitleaks (history and tree, no findings), semgrep with p/security-audit and p/secrets on src and prisma (0 results), and pnpm audit (1 high, 0 critical, 0 moderate)"""
B3.2-39,B2c,B3.2,infra-reviewer,Infra review was manual only,meta,informational,,,infra-reviewer's review was manual only; no tools ran.,,,meta-infra-tools-not-run,none
B3.2-40,B2c,B3.2,infra-reviewer,"checkov failed, other infra tools missing",meta,informational,,,"checkov failed with an SSL certificate error reaching api0.prismacloud.io and produced no results on docker-compose.yml; actionlint, tflint, hadolint not installed.",,,meta-infra-tools-not-run,"checkov: ""checkov failed with an SSL certificate error reaching api0.prismacloud.io and produced no results on docker-compose.yml"""
B3.2-41,B2c,B3.2,security-reviewer,npm audit and pip-audit not applicable,meta,informational,,,npm audit and pip-audit were not applicable or not installed.,,,npm-audit-pip-audit-not-applicable,none
B3.2-42,B2c,B3.2,test-reviewer,"No test tooling, no coverage data",meta,informational,,,"Nothing was run (no runner, no node_modules), so there is no coverage data.",,,meta-test-tools-not-run,none
B3.2-43,B2c,B3.2,docs-reviewer,Could not verify Next middleware naming claim,meta,informational,,,docs-reviewer could not open node_modules/next/dist/docs/ to check proxy.ts naming against the Next 16 docs.,,,meta-node-modules-absent,none
B3.2-44,B2c,B3.2,orchestrator,"Scope PASS vacuous, ADRs likely needed",meta,informational,,,"Scope-reviewer's PASS is vacuous: no engagement/ or docs/decisions/; single commit adds ~60 files/~6,985 lines; flags Prisma+Postgres, custom JWT sessions, public share links as needing ADRs.",,,meta-scope-not-checked,none
B3.2-45,B2c,B3.2,security-reviewer,Authorization checks confirmed sound,security,informational,,,Every mutating idea route calls requireUser() and scopes by userId; no IDOR found.,,,security-checks-sound-positive,none
B3.2-46,B2c,B3.2,security-reviewer,Public share endpoints confirmed sound,security,informational,,,Public share endpoints use an explicit field allowlist and nanoid(24) tokens.,,,share-links-payload-sound-positive,none
B3.2-47,B2c,B3.2,security-reviewer,No injection sinks or mass-assignment found,security,informational,,,"Zod validation rejects unknown fields; no raw SQL, eval, or dangerouslySetInnerHTML.",,,security-checks-sound-positive,none
B3.2-48,B2c,B3.2,security-reviewer,Session cookie flags confirmed correct,security,informational,,,"The session cookie is httpOnly, sameSite lax, and secure in production.",,,security-checks-sound-positive,none
B3.2-49,B2c,B3.2,infra-reviewer,No CI/IaC/cloud resources present,meta,informational,,,"No .github/, Dockerfile, Terraform or cloud resources exist, so CI, OIDC, pinning and tagging checks had nothing to apply to.",,,meta-ci-infra-not-applicable,none
B3.2-50,B2c,B3.2,infra-reviewer,Postgres image pinned to major version tag,infra,informational,docker-compose.yml,,The image is pinned to postgres:16-alpine.,,,docker-restart-policy-and-tag-notes,none
B3.2-51,B2c,B3.2,infra-reviewer,Lockfile is committed,dependencies,informational,pnpm-lock.yaml,,The lockfile is committed.,,,reproducible-installs-lockfile-pinned,none
B3.2-52,B2c,B3.2,infra-reviewer,Dev database restarts on every reboot,infra,informational,docker-compose.yml,,restart: unless-stopped on the dev database brings it back after every reboot.,,,docker-restart-policy-and-tag-notes,none
B3.2-53,B2c,B3.2,infra-reviewer,No production deploy path yet,infra,informational,,,There is no production deploy path yet.,,,no-deployment-pipeline,none
B3.2-54,B2c,B3.2,orchestrator,Agents disagree on severity of compose creds,meta,informational,,,"infra-reviewer and test-reviewer treated idealog/idealog compose credentials as local-dev only and did not flag them; security-reviewer blocked on the same lines, reasoning Docker executes the value and 5432:5432 makes it network-reachable; does not affect verdict.",,,meta-agent-disagreement-postgres-creds-severity,none
B3.2-55,B2c,B3.2,orchestrator,Agents disagree on placeholder secret length,meta,informational,.env.example,2,"Reviewers disagree on the placeholder secret's length, 33 vs 36 characters; both exceed the 16-character minimum so the finding stands either way.",,,meta-secret-placeholder-length-discrepancy,none
